arm,seed,dim,mse_increase
C_scene,2,18,0.0020795271266251802
C_scene,2,19,0.0012111237738281488
C_scene,2,20,0.0029855964239686728
C_scene,2,21,3.368360921740532e-05
C_scene,2,22,0.008427494205534458
C_scene,2,23,0.002187524689361453
C_scene,2,24,0.0007737623527646065
C_scene,2,25,0.00028158468194305897
C_scene,2,26,0.0006713415496051311
C_scene,2,27,0.0017316967714577913
C_scene,2,28,0.0003549868706613779
C_scene,2,29,0.0007223077118396759
C_scene,2,30,0.01736772246658802
C_scene,2,31,0.0021726551931351423
C_scene,3,0,7.997150532901287e-05
C_scene,3,1,0.001482084160670638
C_scene,3,2,2.4206237867474556e-06
C_scene,3,3,0.00013139075599610806
C_scene,3,4,0.0014760494232177734
C_scene,3,5,0.0011975308880209923
C_scene,3,6,0.0005051731131970882
C_scene,3,7,0.00045969150960445404
C_scene,3,8,4.945439286530018e-05
C_scene,3,9,0.0004595876671373844
C_scene,3,10,0.0019513177685439587
C_scene,3,11,0.0015085316263139248
C_scene,3,12,0.0006750829052180052
C_scene,3,13,0.0014582499861717224
C_scene,3,14,0.0014319813344627619
C_scene,3,15,0.0006316003855317831
C_scene,3,16,0.024536699056625366
C_scene,3,17,0.0002316522877663374
C_scene,3,18,0.00100615038536489
C_scene,3,19,0.0005398672074079514
C_scene,3,20,0.00011868949513882399
C_scene,3,21,0.0007274106610566378
C_scene,3,22,0.0019886030349880457
C_scene,3,23,0.0005557441618293524
C_scene,3,24,0.00029176403768360615
C_scene,3,25,0.0007745486218482256
C_scene,3,26,0.0006077017169445753
C_scene,3,27,0.0003426438197493553
C_scene,3,28,0.0005397526547312737
C_scene,3,29,3.228441346436739e-05
C_scene,3,30,0.00032425858080387115
C_scene,3,31,0.0006070621311664581
D_latent,0,0,2036.77880859375
D_latent,0,1,2473.11328125
D_latent,0,2,5376.556640625
D_latent,0,3,74369.6796875
D_latent,0,4,2774.4013671875
D_latent,0,5,24279.841796875
D_latent,0,6,52495.4609375
D_latent,0,7,222280.125
D_latent,0,8,18238.076171875
D_latent,0,9,195.83029174804688
D_latent,0,10,129997.0234375
D_latent,0,11,558.6136474609375
D_latent,0,12,1456.16259765625
D_latent,0,13,1137.2740478515625
D_latent,0,14,1929.740966796875
D_latent,0,15,47426.7890625
D_latent,0,16,5707.82275390625
D_latent,0,17,1582.82421875
D_latent,0,18,475.3011779785156
D_latent,0,19,174334.140625
D_latent,0,20,15558.5703125
D_latent,0,21,14251.8896484375
D_latent,0,22,760.3714599609375
D_latent,0,23,36545.89453125
D_latent,0,24,5910.8154296875
D_latent,0,25,7605.7861328125
D_latent,0,26,130193.09375
D_latent,0,27,3501.086669921875
D_latent,0,28,14091.78125
D_latent,0,29,23345.3515625
D_latent,0,30,428.7638854980469
