seed,vs,horizon,delta_px,b_worse_frac
3,C_scene,3,-0.1471313238143921,0.442
3,C_scene,4,-0.15760686993598938,0.44866666666666666
3,C_scene,5,-0.16905473172664642,0.44
3,C_scene,6,-0.1935829520225525,0.434
3,C_scene,7,-0.22563093900680542,0.4246666666666667
3,C_scene,8,-0.2453346699476242,0.41533333333333333
3,C_scene,9,-0.25681740045547485,0.4186666666666667
3,C_scene,10,-0.27094194293022156,0.4166666666666667
3,C_scene,11,-0.28483468294143677,0.4066666666666667
3,C_scene,12,-0.302399605512619,0.4086666666666667
3,C_scene,13,-0.3220512866973877,0.4106666666666667
3,C_scene,14,-0.33494213223457336,0.406
3,C_scene,15,-0.3454100489616394,0.4073333333333333
3,C_scene,16,-0.34796497225761414,0.4166666666666667
3,C_scene,17,-0.378577321767807,0.4126666666666667
3,C_scene,18,-0.40340477228164673,0.4106666666666667
3,C_scene,19,-0.41664478182792664,0.4126666666666667
3,C_scene,20,-0.4131024181842804,0.41733333333333333
3,C_scene,21,-0.4021173417568207,0.42933333333333334
3,C_scene,22,-0.4132521152496338,0.422
3,C_scene,23,-0.4297386109828949,0.414
3,C_scene,24,-0.4449584186077118,0.41933333333333334
3,C_scene,25,-0.4451651871204376,0.426
3,D_latent,1,-16.130788803100586,0.002
3,D_latent,2,-16.56195068359375,0.0006666666666666666
3,D_latent,3,-16.877044677734375,0.0006666666666666666
3,D_latent,4,-17.151607513427734,0.0006666666666666666
3,D_latent,5,-17.388507843017578,0.0013333333333333333
3,D_latent,6,-17.550561904907227,0.0006666666666666666
3,D_latent,7,-17.616365432739258,0.0013333333333333333
3,D_latent,8,-17.62483787536621,0.0006666666666666666
3,D_latent,9,-17.55857276916504,0.002
3,D_latent,10,-17.460020065307617,0.0033333333333333335
3,D_latent,11,-17.333406448364258,0.004
3,D_latent,12,-17.201316833496094,0.006666666666666667
3,D_latent,13,-17.014564514160156,0.007333333333333333
3,D_latent,14,-16.807912826538086,0.007333333333333333
3,D_latent,15,-16.591400146484375,0.006
3,D_latent,16,-16.356122970581055,0.006666666666666667
3,D_latent,17,-16.132389068603516,0.007333333333333333
3,D_latent,18,-15.931299209594727,0.010666666666666666
3,D_latent,19,-15.732939720153809,0.013333333333333334
3,D_latent,20,-15.559536933898926,0.014666666666666666
3,D_latent,21,-15.407075881958008,0.012
3,D_latent,22,-15.292075157165527,0.012
3,D_latent,23,-15.201427459716797,0.009333333333333334
3,D_latent,24,-15.133474349975586,0.014
3,D_latent,25,-15.057031631469727,0.016
