seed,model,horizon,mse,r2,pred_spread_ratio
2,hold_current,5,0.1455172896385193,0.8522510528564453,0.9606852531433105
2,hold_current,6,0.19865477085113525,0.8015997409820557,0.9527913928031921
2,hold_current,7,0.2561502456665039,0.7482741475105286,0.9451325535774231
2,hold_current,8,0.3169509172439575,0.693298876285553,0.9378596544265747
2,hold_current,9,0.3808642625808716,0.6370055675506592,0.930767297744751
2,hold_current,10,0.4471375644207001,0.5799386501312256,0.9240851402282715
2,hold_current,11,0.515064537525177,0.522689700126648,0.9177953004837036
2,hold_current,12,0.5845044851303101,0.4655761122703552,0.9116438627243042
2,hold_current,13,0.6545035243034363,0.4091077446937561,0.9058877229690552
2,hold_current,14,0.7240232825279236,0.3540131449699402,0.9005581736564636
2,hold_current,15,0.7928284406661987,0.3005877733230591,0.8954745531082153
2,colourblind_true,0,0.5476798415184021,0.39747607707977295,0.6319389343261719
2,colourblind_true,1,0.5567124485969543,0.3971424102783203,0.6315745115280151
2,colourblind_true,2,0.5659233927726746,0.39672887325286865,0.6312163472175598
2,colourblind_true,3,0.5752093195915222,0.39674627780914307,0.6307348012924194
2,colourblind_true,4,0.5845761895179749,0.39677995443344116,0.6302402019500732
2,colourblind_true,5,0.5941548943519592,0.3967331051826477,0.6297938227653503
2,colourblind_true,6,0.6038791537284851,0.39689457416534424,0.6293930411338806
2,colourblind_true,7,0.61356520652771,0.3970326781272888,0.6290985941886902
2,colourblind_true,8,0.6230934262275696,0.3970566391944885,0.6289791464805603
2,colourblind_true,9,0.6324740052223206,0.3972011208534241,0.6290194392204285
